Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
15,0,0,3,0.8679435715712169,10,1,2,0,0,0,0,0.0
15,1,1,2,5.463192407398902,3,1,4,1,0,0,0,0.0
16,0,0,1,18.2203139995844,0,0,4,0,0,0,0,0.0
18,1,0,2,7.724727905981792,0,0,2,1,1,0,0,0.0
18,0,2,1,19.88575971522118,2,0,3,1,0,0,0,0.0
18,0,0,3,4.750322411881203,16,0,3,0,0,0,0,0.0
15,0,1,2,19.27635322376361,3,1,4,0,0,0,0,0.0
15,0,0,2,15.615709667309527,26,0,3,1,0,0,0,0.0
18,0,1,2,17.078969260290872,3,1,1,0,1,0,0,0.0
17,1,0,3,19.765242302863737,1,0,1,1,1,0,0,0.0
18,1,1,1,5.898622716077286,0,0,4,0,0,0,0,0.0
16,1,1,1,13.78218162973648,0,0,3,1,0,0,0,0.0
16,0,0,3,7.873637719812256,0,1,4,0,0,1,0,0.0
16,1,1,3,1.5110898752553914,3,0,3,0,0,0,0,0.0
18,1,1,2,5.96901322295521,0,0,3,0,0,1,0,0.0
18,1,1,2,15.683743584641592,1,1,4,0,1,0,0,0.0
15,0,0,2,19.424398237709887,0,0,3,0,1,1,1,0.0
17,0,2,3,1.517432824480951,6,0,1,1,0,0,0,0.0
15,1,2,2,11.963648910840048,9,0,2,0,0,0,0,0.0
15,1,0,2,12.49401338813216,0,0,3,0,0,0,0,0.0
18,1,0,2,18.67230755670188,4,1,3,1,1,0,1,0.0
17,0,2,2,5.288085958592907,19,1,3,1,0,0,0,0.0
15,1,0,2,18.899695711116863,3,1,3,1,1,0,0,0.0
15,0,0,3,1.8207262989088344,1,1,3,0,1,1,0,0.0
16,1,1,3,5.494100656142873,1,0,3,1,0,0,0,0.0
17,0,1,2,2.7274221005891675,0,1,0,1,0,1,0,0.0
15,1,0,2,16.930689862468103,1,1,1,1,1,0,0,0.0
16,0,0,2,14.204196966325298,2,1,3,0,1,0,0,0.0
16,0,3,0,12.353891723771817,6,1,3,1,1,0,0,0.0
18,0,0,1,0.1850504487180471,26,0,4,0,0,0,0,0.0
15,1,2,3,12.52489645526066,15,0,0,1,1,0,0,0.0
18,0,2,0,19.61296439128099,2,1,0,1,0,0,0,0.0
16,0,0,1,13.673990914492416,14,0,1,1,0,0,0,0.0
16,1,1,2,15.489548385519669,7,0,0,0,0,0,0,0.0
16,0,0,2,9.697174794322072,1,1,3,0,0,0,0,0.0
15,0,2,1,15.785813093542094,4,1,2,0,1,0,0,0.0
18,0,2,1,10.826707654025345,0,0,3,0,1,1,0,0.0
17,0,1,2,16.032851796627344,3,1,2,1,0,0,1,0.0
16,0,3,2,18.515770989891365,11,0,1,0,0,0,0,0.0
17,0,0,1,9.005303869932764,1,1,4,0,1,1,0,0.0
16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,0.0
16,0,1,2,15.215186167739,6,1,4,1,1,0,0,0.0
17,1,1,0,18.75100674814677,0,1,4,1,0,0,0,0.0
17,1,2,2,17.989061691076703,9,1,3,1,1,0,0,0.0
16,1,0,1,8.85874243468872,0,1,2,0,1,1,0,0.0
16,0,2,1,12.12433284441532,0,1,1,1,0,1,0,0.0
18,0,2,0,12.635496873055107,0,1,2,0,0,0,0,0.0
15,1,2,0,9.772098517559694,2,0,3,1,0,1,0,0.0
15,0,2,1,3.342686297386144,18,1,3,1,1,0,0,0.0
18,0,1,1,18.1064365675218,1,0,2,0,0,1,1,0.0
17,1,3,2,14.4064583295712,11,0,4,0,0,0,0,0.0
16,0,0,1,13.964309069889456,22,1,4,0,0,1,0,0.0
16,0,2,2,19.46289422853817,6,1,3,1,1,0,0,0.0
16,0,2,1,2.313504472962331,5,1,3,1,0,0,0,0.0
15,0,0,0,10.552489136774156,28,0,4,1,0,0,0,0.0
18,0,0,3,10.767683737928664,4,0,3,1,1,1,0,0.0
17,1,2,2,9.001905371817188,2,1,3,1,1,0,0,0.0
15,0,2,3,6.018381463308375,7,0,1,0,0,0,0,0.0
15,0,2,1,19.56530927058948,3,0,2,1,0,1,1,0.0
16,1,1,1,19.205327169841333,1,0,1,1,0,0,0,0.0
17,0,0,2,14.082087215432736,1,1,4,0,1,0,0,0.0
18,1,0,2,8.858281960839271,0,1,4,1,0,0,0,0.0
18,0,0,2,9.300706494613456,28,1,3,0,0,0,0,0.0
17,1,2,3,14.329525252843338,2,1,2,1,0,0,1,0.0
15,1,0,2,6.779398523456428,3,1,4,0,0,0,0,0.0
15,0,3,1,17.442121274931623,1,1,1,1,1,0,0,0.0
17,1,2,2,9.64712417165506,1,1,2,1,0,0,1,0.0
15,0,0,1,7.909781523671404,5,0,3,0,0,0,0,0.0
16,0,0,1,19.257409880036192,0,0,4,0,0,0,0,0.0
15,0,3,2,8.511117553934351,0,1,3,0,1,0,0,0.0
17,0,1,3,2.2078846849986755,21,1,3,0,0,0,0,0.0
17,1,0,1,13.54607918596282,2,1,3,1,1,0,0,0.0
17,0,0,2,18.36386316923406,10,0,3,0,1,0,1,0.0
16,0,2,1,18.982249137764946,19,0,3,0,0,0,0,0.0
17,0,0,2,17.245325070869487,3,1,2,1,0,0,1,0.0
15,0,1,1,8.732704047431934,0,1,2,0,1,0,0,0.0
17,0,0,1,9.643580608596816,28,0,3,0,0,0,0,0.0
17,0,1,2,2.2822651405928287,20,1,3,0,0,0,0,0.0
18,1,0,2,6.875489325319357,0,0,2,0,0,0,0,0.0
16,0,0,2,15.442275882406022,2,1,2,0,0,0,0,0.0
18,0,1,1,18.470866512138237,1,0,2,0,0,0,0,0.0
17,0,0,2,17.957457811094244,3,1,2,1,0,0,1,0.0
16,1,1,2,5.702573700307445,0,0,3,0,0,0,0,0.0
17,0,1,0,18.700436104253807,0,0,3,0,0,0,0,0.0
17,1,2,2,9.63076739541354,1,1,2,1,0,0,0,0.0
15,0,2,3,5.850263896194935,6,0,1,0,0,0,0,0.0
16,1,0,1,13.373519480589405,1,0,3,0,0,0,0,0.0
17,1,1,2,14.091337440377218,2,1,2,1,0,0,0,0.0
15,1,2,2,12.295372619424572,12,0,0,0,0,0,0,0.0
15,1,0,1,17.32487158805713,1,0,1,1,0,0,0,0.0
17,0,0,0,1.8069018971513489,26,0,4,0,0,0,0,0.0
17,0,0,2,8.611881732303592,0,1,4,0,0,0,0,0.0
15,0,0,0,12.090446587446682,25,0,4,0,0,0,0,0.0
16,0,0,0,18.89553626674547,0,0,4,0,0,0,0,0.0
16,0,2,1,19.77686981350336,2,0,2,1,0,0,0,0.0
16,0,2,2,18.4732468416782,10,0,1,0,0,0,0,0.0
